,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,658,575,82,140,15,58,5,.243,.331,.391,.722
9 Seasons,3102,2724,379,648,78,313,46,.238,.322,.386,.708
