 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,160,90.6,84.9,--,--,74,--,--,--,--,--,79,85.5,2,--,5,--
2021,282,88.5,84.6,61,--,37,--,--,--,--,--,87,84.5,46,--,51,84.3
2022,371,94.2,86.9,--,--,--,--,--,--,--,--,371,86.9,--,--,--,--
