PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Carrasco(W, 15-6)",6.0,4,1,1,2,11,0,3.70
Lugo,1.0,0,0,0,0,3,0,3.28
"Rodríguez, J",2.0,0,0,0,0,2,0,4.95
,9.0,4,1,1,2,16,0,
