BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Cruz, OSS",5,1,2,2,0,0,0,.231,.743
"Reynolds, BDH",4,0,0,0,0,0,3,.262,.805
AndújarLF,4,0,2,1,0,1,2,.243,.573
"Castillo, D1B",1,0,0,0,0,1,1,.200,.619
"2-Castro, RPR",0,1,0,0,0,0,0,.238,.750
Gamel1B-RF,3,0,0,0,2,1,1,.231,.686
Hayes3B,5,0,1,0,0,2,5,.246,.668
MitchellRF,4,1,2,0,0,0,0,.221,.621
1-SuwinskiPR-LF,1,0,0,0,0,0,2,.194,.687
Newman2B,4,0,1,1,1,0,1,.276,.695
GodoyC,4,1,1,0,0,2,3,.056,.206
BaeCF,3,0,0,0,1,1,0,.235,.703
,38,4,9,4,4,8,18,,
