PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
Quantrill,6.0,3,1,1,0,4,0,3.42
Shaw,1.0,1,0,0,0,1,0,5.40
"De Los Santos, E(W, 5-0)",1.0,0,0,0,0,2,0,2.98
"Stephan(S, 3)",1.0,0,0,0,3,2,0,2.74
,9.0,4,1,1,3,9,0,
