PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
Springs,6.0,3,0,0,0,5,0,2.45
"Armstrong(L, 2-3)(BS, 3)",2.0,3,2,2,1,2,0,4.40
,8.0,6,2,2,1,7,0,
