PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Morton(L, 0-1)",2.0,4,3,3,1,3,1,13.50
McHugh,2.0,3,1,1,1,3,1,2.70
Minter,1.2,1,2,2,0,4,0,6.75
"Iglesias, R",0.1,3,1,1,1,0,0,6.75
"Lee, D",1.0,1,0,0,0,0,0,3.38
Jansen,1.0,1,1,1,0,1,1,4.50
,8.0,13,8,8,3,11,3,
