PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
Syndergaard,3.0,1,1,1,0,3,1,2.25
Bellatti,1.0,1,1,1,0,2,1,3.38
"Hand(W, 1-0)",1.0,1,0,0,0,2,0,0.00
"Alvarado(H, 2)",1.2,1,1,1,0,2,1,5.40
Eflin,1.1,0,0,0,0,3,0,8.31
Domínguez,1.0,0,0,0,0,3,0,0.00
,9.0,4,3,3,0,15,3,
