PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
Plesac,6.0,8,4,3,0,2,0,4.70
"Morgan(L, 2-2)(BS, 1)",0.2,2,3,0,0,2,1,1.91
"De Los Santos, E",1.0,1,1,1,1,3,1,2.76
Hentges,1.1,2,2,2,0,3,2,1.80
,9.0,13,10,6,1,10,4,
