PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
Lyles,4.1,9,3,3,1,3,0,4.26
"Akin(L, 1-1)",2.1,2,2,2,1,1,1,1.71
Baker,1.1,2,0,0,1,1,0,4.66
,8.0,13,5,5,3,5,1,
