BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Hernández, KCF",5,0,1,2,0,0,2,.200,.597
Devers3B,5,0,4,0,0,1,0,.354,.997
MartinezDH,4,1,1,0,1,2,5,.376,1.026
BogaertsSS,4,0,1,0,0,2,3,.322,.860
VerdugoLF,4,0,1,0,0,0,4,.238,.629
Arroyo2B,4,1,2,1,0,0,2,.209,.567
Cordero1B,2,0,1,0,0,0,1,.262,.739
a-DalbecPH-1B,2,1,1,1,0,0,2,.168,.523
PlaweckiC,2,1,0,0,2,0,1,.167,.476
Bradley Jr.RF,4,1,1,1,0,0,2,.221,.625
,36,5,13,5,3,5,22,,
