BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KempLF-2B,4,1,2,3,0,1,1,.238,.653
Machín3B,3,1,1,0,1,1,2,.228,.604
"Murphy, SC",4,0,1,1,0,1,1,.253,.772
"Brown, SCF-LF",3,0,0,0,1,0,0,.230,.745
"Garcia, Der1B",4,0,0,0,0,2,3,.240,.780
LangeliersDH,3,0,0,0,0,3,0,.196,.578
a-VogtPH-DH,1,0,0,0,0,0,1,.167,.563
CapelRF,3,0,1,0,1,0,1,.200,.611
"Diaz, J2B",3,1,0,0,0,0,2,.167,.334
PacheCF,0,0,0,0,0,0,0,.157,.431
"Allen, NSS",2,1,2,0,1,0,0,.214,.555
,30,4,7,4,4,8,11,,
