PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
"Sears(W, 6-2)",5.0,1,1,0,3,7,0,3.58
"Payamps(H, 3)",1.0,0,0,0,0,0,0,3.23
"Puk(H, 19)",1.0,0,0,0,0,2,0,3.13
"Cyr(H, 1)",1.0,0,0,0,2,1,0,4.15
"Acevedo(S, 3)",1.0,0,0,0,0,1,0,3.39
,9.0,1,1,0,5,11,0,
