PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
Cobb,5.1,4,2,2,3,3,0,3.48
Alexander,1.0,1,0,0,0,0,0,1.74
"Rogers, Ty",1.2,0,0,0,0,2,0,4.01
Doval,1.0,0,0,0,1,2,0,2.49
"Brebbia(L, 6-2)",0.2,1,2,1,2,0,0,2.90
Szapucki,0.1,0,0,0,1,1,0,11.25
,10.0,6,4,3,7,8,0,
