BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
La StellaDH,3,0,0,1,1,1,1,.250,.660
Wade Jr.1B,4,0,0,0,0,3,3,.169,.678
Longoria3B,1,0,0,0,0,1,1,.253,.817
Flores3B-1B,4,1,1,0,0,0,2,.249,.763
YastrzemskiRF,4,0,0,0,0,3,1,.209,.680
Estrada2B,3,0,1,0,1,1,0,.256,.710
"Crawford, BraSS",4,0,1,0,0,1,1,.218,.643
SlaterCF,2,0,0,1,1,0,1,.264,.767
"Gonzalez, LLF",3,1,0,0,0,1,2,.257,.703
BartC,3,0,1,0,1,1,1,.228,.714
,31,2,4,2,4,12,13,,
