PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Verlander(W, 18-4)",5.0,0,0,0,1,10,0,1.75
"Brown, H",2.1,0,0,0,1,3,0,0.89
Neris,0.2,0,0,0,0,0,0,3.72
"Smith, W.M.",1.0,3,0,0,0,3,0,3.97
,9.0,3,0,0,2,16,0,
