PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
Quantrill,6.1,6,3,3,3,2,1,3.94
"De Los Santos, E",0.2,0,0,0,0,2,0,0.00
"Shaw(H, 2)",0.2,1,0,0,0,0,0,2.70
"Sandlin(H, 3)",0.1,0,0,0,0,1,0,6.35
"Clase(L, 0-2)(BS, 1)",0.2,2,2,2,1,1,0,7.71
,8.2,9,5,5,4,6,1,
