BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
StrawCF,4,0,1,0,0,1,0,.296,.767
KwanLF,4,0,0,0,0,2,1,.357,.997
"Ramírez, Jo3B",4,0,0,0,0,1,0,.364,1.119
"Reyes, FDH",4,0,0,0,0,1,0,.182,.502
"Rosario, ASS",2,1,0,0,2,1,0,.250,.604
"Naylor, J1B",3,2,2,2,0,0,1,.476,1.214
Clement2B,3,0,0,0,0,0,1,.241,.643
MercadoRF,3,0,0,0,0,1,1,.213,.702
HedgesC,3,1,1,2,0,2,0,.125,.419
,30,4,4,4,2,9,4,,
