 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2021,,475,16.7,31.4%,1.1%,368,22.3,0.8%,8.2%
2022,,615,16.4,35.8%,1.6%,376,21.3,2.4%,5.9%
