,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2021,CWS,AL,127,469,417,56,98,22,0,15,48,41,101,1,1,6,.235,.309,.396,.705
,2022,CWS,AL,134,555,510,60,138,28,1,17,76,31,96,0,0,9,.271,.321,.429,.750
,2 Seasons,CWS,AL,261,1024,927,116,236,50,1,32,124,72,197,1,1,15,.255,.315,.414,.729
