Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2021,,21.6,15,16.1,-1,10,10,8,53.3
2022,,23.5,17,18.2,-1,8,13,7,41.2
Player,,22.6,32,34.3,-2,18,23,15,46.9
