Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2021,-6,,-1,-1,-1,-2,0,-3,-1,-3,88,84,-4
2022,-17,,-1,-3,-1,-5,-5,-3,-4,-12,86,76,-10
