PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
Quintana,4.2,3,2,2,3,3,0,3.86
Hembree,0.1,0,0,0,0,1,0,1.59
"De Jong(W, 1-0)",2.0,1,0,0,1,2,0,0.00
"Bednar(H, 3)",1.0,1,0,0,0,3,0,0.00
"Stratton(S, 2)",1.0,2,0,0,0,1,0,3.38
,9.0,7,2,2,4,10,0,
