BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
AlfordLF,3,0,0,0,0,2,1,.000,.000
a-GamelPH-LF,1,0,0,0,0,1,1,.237,.683
"Reynolds, BCF",4,0,0,0,0,0,0,.212,.633
Hayes3B,3,0,1,0,1,0,0,.333,.824
VogelbachDH,4,0,1,0,0,1,3,.310,.931
Chavis1B,4,1,1,1,0,1,1,.400,1.138
NewmanSS,4,1,1,0,0,0,0,.205,.595
VanMeter2B,3,1,1,0,1,1,0,.222,.689
MarisnickRF,4,0,1,0,0,2,3,.240,.549
PerezC,3,1,2,3,0,0,1,.242,.706
,33,4,8,4,2,8,10,,
