PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
"Cabrera, E",5.0,0,0,0,3,8,0,2.61
Brazoban,0.2,1,0,0,1,2,0,1.17
Okert,0.1,0,0,0,0,1,0,2.87
"Bender(H, 2)",1.0,0,0,0,1,0,0,3.94
"Floro(L, 0-1)(BS, 1)",1.0,3,2,2,0,2,1,3.86
,8.0,4,2,2,5,13,1,
