BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rojas, MSS",4,0,1,0,0,1,1,.238,.629
Wendle2B,5,0,1,1,0,2,2,.267,.675
Cooper1B,4,0,0,0,1,0,3,.275,.766
AguilarDH,3,0,0,0,0,2,3,.241,.680
De La CruzRF,4,0,1,0,0,1,0,.207,.594
BledayCF,3,0,1,0,1,2,0,.222,.627
BurdickLF,3,0,0,0,1,3,4,.000,.250
StallingsC,4,0,1,0,0,1,3,.207,.529
Leblanc3B,3,0,2,0,0,1,0,.400,1.079
"1-Williams, LPR-3B",1,1,0,0,0,0,2,.263,.680
,34,1,7,1,3,13,18,,
