PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Rodón(L, 3-1)",6.0,3,2,2,2,3,0,1.55
Brebbia,1.0,1,1,1,0,1,0,1.80
Alvarez,1.0,1,0,0,1,1,0,1.35
,8.0,5,3,3,3,5,0,
