Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
St. Louis Cardinals,MLB,Bases Empty,,,,11,,,40.2,163,32,,,2,7,39,0.96
New York Yankees,MLB,Bases Empty,,,,21,,,69.2,294,65,,,10,14,60,1.13
St. Louis Cardinals,MLB,Bases Loaded,,,,2,,,1.0,3,1,,,0,0,0,1.00
New York Yankees,MLB,Bases Loaded,,,,5,,,1.0,4,2,,,0,0,1,2.00
St. Louis Cardinals,MLB,Runner at 1st,,,,10,,,9.1,41,12,,,2,3,8,1.61
New York Yankees,MLB,Runner at 1st,,,,20,,,23.0,88,20,,,3,5,17,1.09
St. Louis Cardinals,MLB,Runners at 1st & 2nd,,,,7,,,4.0,13,3,,,1,0,5,0.75
New York Yankees,MLB,Runners at 1st & 2nd,,,,13,,,6.2,25,5,,,0,1,6,0.90
St. Louis Cardinals,MLB,Runners at 1st & 3rd,,,,4,,,2.0,6,0,,,0,1,2,0.50
New York Yankees,MLB,Runners at 1st & 3rd,,,,6,,,3.0,10,1,,,0,1,4,0.67
St. Louis Cardinals,MLB,Runner at 2nd,,,,8,,,4.0,17,4,,,1,1,5,1.25
New York Yankees,MLB,Runner at 2nd,,,,16,,,8.2,38,8,,,2,2,7,1.15
St. Louis Cardinals,MLB,Runners at 2nd & 3rd,,,,2,,,0.2,4,1,,,0,1,1,3.00
New York Yankees,MLB,Runners at 2nd & 3rd,,,,6,,,1.1,6,0,,,0,0,2,0.00
New York Yankees,MLB,Runner at 3rd,,,,4,,,0.2,4,2,,,0,0,0,3.00
St. Louis Cardinals,MLB,Runner at 3rd,,,,4,,,1.2,8,3,,,0,0,1,1.80
St. Louis Cardinals,MLB,Scoring Position,,,,10,,,13.1,51,12,,,2,3,14,1.13
New York Yankees,MLB,Scoring Position,,,,20,,,21.1,87,18,,,2,4,20,1.03
