PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Brown, H(W, 1-0)",6.0,3,0,0,1,5,0,0.00
"Abreu, B(H, 5)",1.0,0,0,0,0,2,0,1.95
"Neris(H, 24)",1.0,0,0,0,0,2,0,3.30
"Montero(S, 12)",1.0,0,0,0,0,1,0,2.54
,9.0,3,0,0,1,10,0,
