BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
JoeLF,5,0,1,0,0,1,3,.281,.784
DazaCF,5,1,2,0,0,0,1,.353,.804
BlackmonDH,3,0,1,0,2,0,1,.221,.682
Cron1B,5,2,2,1,0,1,4,.314,.955
McMahon3B,3,1,2,0,1,0,1,.261,.763
GrichukRF,4,1,2,3,0,2,1,.281,.756
IglesiasSS,4,0,1,0,0,1,3,.309,.748
Hampson2B,4,0,0,0,0,1,2,.162,.549
ServenC,4,0,2,1,0,2,0,.333,1.066
,37,5,13,5,3,8,16,,
