PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Scherzer(W, 10-4)",6.0,0,0,0,0,9,0,2.15
Megill,1.0,2,2,2,0,1,1,5.31
Lugo,1.0,1,0,0,0,1,0,3.17
Ottavino,1.0,1,0,0,0,2,0,1.97
,9.0,4,2,2,0,13,1,
