BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichLF,4,1,2,0,0,2,0,.264,.758
AdamesSS,4,0,0,0,0,3,2,.238,.775
Tellez1B,4,1,1,2,0,1,1,.225,.780
RenfroeRF,4,0,0,0,0,3,1,.248,.788
"Wong, Ko2B",3,0,0,0,0,0,0,.248,.751
McCutchenDH,3,0,1,0,0,1,0,.239,.699
Peterson3B,3,0,0,0,0,0,1,.251,.740
CaratiniC,3,0,0,0,0,0,1,.198,.651
MitchellCF,3,0,0,0,0,3,1,.184,.568
,31,2,4,2,0,13,7,,
