BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
AndrusSS,4,1,2,1,1,1,2,.241,.675
VaughnLF,5,1,2,2,0,2,4,.289,.798
HaseleyLF,0,0,0,0,0,0,0,.250,.568
"Abreu, J1B",4,0,1,0,0,3,2,.308,.839
"Jiménez, EDH",3,0,0,0,0,1,3,.302,.828
a-HarrisonPH-DH,1,0,0,0,0,1,0,.246,.674
SheetsRF,2,1,0,0,2,2,0,.254,.745
GrandalC,4,1,1,0,0,0,3,.202,.570
PollockCF,4,2,2,2,0,0,0,.240,.665
"Garcia, Le3B",4,1,2,1,0,1,0,.217,.517
"Gonzalez, R2B",4,0,1,1,0,1,1,.273,.639
,35,7,11,7,3,12,15,,
