PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Castillo, L(W, 8-6)",6.0,2,1,1,1,8,0,2.99
"Boyd(H, 1)",1.0,0,0,0,1,1,0,1.74
"Castillo. D(H, 9)",1.0,0,0,0,0,1,0,3.78
Festa,1.0,0,0,0,0,1,0,4.17
,9.0,2,1,1,2,11,0,
