BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
WardRF,4,1,1,0,1,2,0,.368,1.197
Fletcher2B,5,1,1,1,0,1,1,.156,.487
OhtaniP-DH,4,1,2,1,0,0,0,.240,.695
Rendon3B,3,1,0,1,1,1,4,.222,.738
Walsh1B,4,1,2,4,0,0,2,.247,.718
StassiC,4,0,0,0,0,3,1,.220,.682
"Mayfield, JLF",3,0,0,0,0,1,0,.227,.641
a-WadePH-LF,1,0,0,0,0,0,1,.275,.660
MarshCF,4,2,2,1,0,2,0,.265,.766
"Velazquez, ASS",3,1,0,0,0,2,0,.130,.393
,35,8,8,8,2,12,9,,
