BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,5,3,3,0,1,0,1,.273,.775
SwansonSS,6,1,2,1,0,1,5,.292,.812
Riley3B,6,1,3,5,0,1,1,.298,.953
Olson1B,4,1,1,0,2,0,1,.248,.818
"Contreras, WmC",5,0,1,1,1,1,4,.255,.880
GrossmanLF,2,0,0,0,1,0,0,.205,.599
"a-Rosario, EPH-LF",2,1,0,0,1,0,2,.172,.505
OzunaDH,5,0,0,0,0,1,5,.213,.652
Arcia2B,4,1,1,1,1,0,0,.243,.726
Adrianza2B,0,0,0,0,0,0,0,.180,.473
"Harris II, MCF",5,1,2,1,0,0,0,.288,.809
,44,9,13,9,7,4,19,,
