BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
AndrusSS,5,2,2,3,1,1,4,.251,.712
Moncada3B,5,2,1,0,1,1,2,.208,.613
"Abreu, J1B",4,1,2,0,1,0,4,.309,.831
"Garcia, LeRF",1,0,0,0,0,0,0,.213,.506
"Jiménez, EDH",4,0,3,3,0,0,0,.314,.885
a-ZavalaPH-DH,1,0,0,0,0,1,0,.274,.739
SheetsRF-1B,5,0,0,0,0,1,6,.245,.715
PollockCF-LF,5,3,4,0,0,1,0,.249,.689
VaughnLF,5,0,4,2,0,0,1,.289,.791
1-EngelPR-CF,0,0,0,0,0,0,0,.228,.595
GrandalC,4,1,1,2,0,0,4,.204,.576
Harrison2B,4,1,3,0,1,1,1,.252,.680
,43,10,20,10,4,6,22,,
