PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Webb(W, 8-3)",6.0,5,0,0,2,8,0,2.82
"Marte, Y",2.0,1,0,0,0,2,0,5.40
"Gonzalez, L",1.0,2,0,0,0,0,0,5.06
,9.0,8,0,0,2,10,0,
