PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
"Keuchel(L, 2-7)",2.1,8,8,7,1,4,3,8.53
Uceta,2.2,0,0,0,1,3,0,3.86
Weaver,1.0,1,0,0,0,2,0,9.49
"Smith, C",1.0,2,2,2,0,1,1,4.97
"Kelly, C",1.0,3,3,3,1,0,0,13.50
,8.0,14,13,12,3,10,4,
