BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rojas, J3B",4,0,1,0,0,1,2,.282,.768
"Kennedy, B3B",1,0,0,0,0,0,2,.213,.593
"Thomas, ACF",4,0,1,0,0,1,2,.250,.714
PeraltaLF,4,0,0,0,0,3,2,.237,.746
"Walker, C1B",2,0,0,0,1,1,2,.207,.785
Luplow1B,1,0,0,0,0,0,0,.184,.729
VarshoDH-C,4,0,1,0,0,2,0,.235,.707
McCarthyRF,4,0,1,0,0,1,2,.229,.699
"Kelly, CC-P",3,0,1,0,1,1,2,.179,.519
"Alcántara, Se2B",4,0,3,0,0,0,2,.200,.529
PerdomoSS,4,0,0,0,0,0,4,.203,.573
,35,0,8,0,2,10,20,,
