Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2018,23,28.1,4.26,,8,18,163,75.8
2019,24,28.0,4.27,,3,28,177,74.2
2020,25,28.1,4.25,,3,18,96,81.0
2021,26,28.0,4.29,,24,32,172,74.7
2022,27,28.4,4.27,,18,24,132,79.0
