Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
,ACL Rangers,AZL,ROK,DH,1,1,0.0,0,0,0,0,0,,.000
,2 Teams,,AAA,C,5,5,31.0,30,27,3,0,0,,1.000
,Round Rock Express,PCL,AAA,2B,1,1,9.0,4,2,2,0,0,,1.000
,2 Teams,,AAA,SS,5,5,43.0,22,8,14,0,3,,1.000
,Nashville Sounds,INT,AAA,DH,3,3,0.0,0,0,0,0,0,,.000
,Frisco RoughRiders,TEX,AA,C,73,71,627.2,639,572,60,7,6,,.989
,Frisco RoughRiders,TEX,AA,1B,1,0,4.0,3,3,0,0,0,,1.000
,Frisco RoughRiders,TEX,AA,2B,47,45,397.1,221,79,139,3,48,,.986
,Frisco RoughRiders,TEX,AA,3B,98,94,821.2,305,61,231,13,27,,.957
,Frisco RoughRiders,TEX,AA,SS,30,29,267.0,119,43,71,5,17,,.958
,Frisco RoughRiders,TEX,AA,CF,2,2,14.0,4,3,0,1,0,,.750
,Frisco RoughRiders,TEX,AA,DH,11,11,0.0,0,0,0,0,0,,.000
,High Desert Mavericks,CAL,A+,2B,37,37,322.0,166,59,103,4,28,,.976
,High Desert Mavericks,CAL,A+,SS,19,19,163.0,84,32,48,4,15,,.952
,High Desert Mavericks,CAL,A+,DH,2,2,0.0,0,0,0,0,0,,.000
,Hickory Crawdads,SAL,A,2B,12,12,98.2,54,22,30,2,8,,.963
,Hickory Crawdads,SAL,A,3B,16,16,142.0,40,10,29,1,3,,.975
,Hickory Crawdads,SAL,A,SS,20,20,174.2,86,31,52,3,14,,.965
,Hickory Crawdads,SAL,A,LF,8,5,44.1,4,4,0,0,0,,1.000
,Hickory Crawdads,SAL,A,DH,3,3,0.0,0,0,0,0,0,,.000
,Spokane Indians,NWL,A(Short),2B,10,10,89.0,45,28,16,1,4,,.978
,Spokane Indians,NWL,A(Short),SS,48,48,430.1,194,73,116,5,24,,.974
,2 Teams,,Minors,C,75,73,640.2,655,588,60,7,6,,.989
,1 Teams,,Minors,1B,1,0,4.0,3,3,0,0,0,,1.000
,6 Teams,,Minors,2B,132,127,1127.0,624,230,378,16,108,,.974
,2 Teams,,Minors,3B,114,110,963.2,345,71,260,14,30,,.959
,5 Teams,,Minors,SS,137,136,1201.1,580,217,342,21,82,,.964
,1 Teams,,Minors,LF,8,5,44.1,4,4,0,0,0,,1.000
,1 Teams,,Minors,CF,2,2,14.0,4,3,0,1,0,,.750
,5 Teams,,Minors,DH,20,20,0.0,0,0,0,0,0,,.000
,2 Teams,,Minors,C,75,73,640.2,655,588,60,7,6,,.989
,1 Teams,,Minors,1B,1,0,4.0,3,3,0,0,0,,1.000
,6 Teams,,Minors,2B,132,127,1127.0,624,230,378,16,108,,.974
,2 Teams,,Minors,3B,114,110,963.2,345,71,260,14,30,,.959
,5 Teams,,Minors,SS,137,136,1201.1,580,217,342,21,82,,.964
,1 Teams,,Minors,LF,8,5,44.1,4,4,0,0,0,,1.000
,1 Teams,,Minors,CF,2,2,14.0,4,3,0,1,0,,.750
,5 Teams,,Minors,DH,20,20,0.0,0,0,0,0,0,,.000
,2 Teams,,Minors,C,75,73,640.2,655,588,60,7,6,,.989
,1 Teams,,Minors,1B,1,0,4.0,3,3,0,0,0,,1.000
,6 Teams,,Minors,2B,132,127,1127.0,624,230,378,16,108,,.974
,2 Teams,,Minors,3B,114,110,963.2,345,71,260,14,30,,.959
,5 Teams,,Minors,SS,137,136,1201.1,580,217,342,21,82,,.964
,1 Teams,,Minors,LF,8,5,44.1,4,4,0,0,0,,1.000
,1 Teams,,Minors,CF,2,2,14.0,4,3,0,1,0,,.750
Career Minors,5 Teams,,,DH,20,20,0.0,0,0,0,0,0,,.000
