 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2018,,395,"1,497",-11,-13,9,7,-8
2019,,222,848,-7,-15,4,3,-15
2020,,228,799,-6,-7,7,3,-3
2021,,675,"2,396",-10,-21,14,10,-7
2022,,549,"2,001",-2,-18,9,7,-3
