Season,Team,Pos,PA,Depth (ft.),Angle
2018,TEX,4,768,149,10
2018,TEX,5,1505,109,-35
2018,TEX,6,70,144,-17
2019,TEX,5,928,112,-34
2020,TEX,5,1571,114,-31
2020,TEX,6,558,142,-13
2021,TEX,6,5824,144,-13
2022,NYY,6,4772,148,-11
2022,NYY,5,174,116,-30
