Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2018,,20.4,4,2.8,1,5,2,1,25.0
2019,,20.8,1,2.6,-2,3,2,1,100.0
2020,,21.3,3,1.6,1,2,1,1,33.3
2021,,21.5,8,8.2,0,3,6,4,50.0
2022,,21.2,4,6.0,-2,4,4,3,75.0
Player,,21.1,20,21.2,-1,17,15,10,50.0
