PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Kikuchi,5.0,3,1,1,3,3,0,3.24
Phelps,1.0,0,0,0,0,2,0,1.80
"Garcia, Y(L, 0-1)",1.0,0,1,0,0,0,0,0.00
"Richards, T",1.0,0,0,0,0,1,0,2.08
,8.0,3,2,1,3,6,0,
