PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Manoah(W, 10-4)",7.0,4,1,1,0,6,0,2.28
"Richards, T",1.0,0,0,0,0,2,0,5.45
Banda,1.0,1,0,0,0,2,0,6.65
,9.0,5,1,1,0,10,0,
