BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
La StellaDH,3,0,1,0,1,0,0,.255,.670
Flores1B,3,0,0,0,0,1,1,.249,.766
PedersonLF,3,0,1,0,1,1,2,.258,.829
Longoria3B,4,0,0,0,0,2,4,.254,.822
Estrada2B,4,0,0,0,0,2,2,.255,.708
"Crawford, BraSS",2,0,0,0,1,1,0,.218,.644
SlaterCF,3,0,1,0,0,1,0,.266,.771
YastrzemskiRF,3,0,1,0,0,1,2,.212,.686
BartC,3,0,0,0,0,0,3,.226,.706
,28,0,4,0,3,9,14,,
