PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Wood(L, 8-11)",3.0,6,8,8,0,4,2,5.00
Littell,1.0,2,0,0,0,0,0,4.33
"Rogers, Ty",2.0,0,0,0,2,2,0,4.55
Leone,1.0,0,0,0,1,2,0,4.23
Wynns,1.0,1,1,1,0,0,1,13.50
,8.0,9,9,9,3,8,3,
