BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Greene, RCF",4,0,1,1,0,1,1,.241,.651
"Reyes, VLF",4,0,0,0,0,2,3,.276,.670
"Báez, JSS",4,0,0,0,0,2,1,.221,.644
"Castro, H1B",4,0,3,0,0,0,0,.284,.718
HaaseDH,4,0,0,0,0,4,3,.236,.702
"Castro, WRF",3,1,0,0,0,0,1,.241,.631
Schoop2B,3,0,0,0,0,3,2,.207,.555
Clemens3B,2,0,0,0,0,0,1,.130,.470
a-CandelarioPH-3B,1,0,0,0,0,1,0,.205,.629
BarnhartC,1,0,0,0,1,1,0,.202,.499
,30,1,4,1,1,14,12,,
