BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BuxtonDH,3,2,1,0,1,0,0,.221,.847
CorreaSS,4,0,1,1,0,0,1,.266,.781
Polanco2B,4,0,1,0,0,0,1,.239,.765
Miranda1B,3,1,1,0,1,1,1,.276,.788
Urshela3B,3,0,0,1,0,1,2,.261,.727
GordonCF,3,1,0,0,1,3,2,.271,.730
CaveLF,3,0,1,0,0,1,2,.500,1.238
LeonC,3,0,2,2,0,0,0,.222,.695
ContrerasRF,3,0,0,0,0,2,3,.105,.363
,29,4,7,4,3,8,12,,
