BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Díaz, Y3B",4,0,1,0,0,1,0,.266,.739
"Ramírez, HDH",3,0,1,0,1,0,1,.294,.720
MargotRF,4,0,1,0,0,2,2,.311,.802
Choi1B,4,0,1,0,0,2,2,.283,.847
ArozarenaLF,4,0,1,0,0,1,3,.268,.756
KiermaierCF,3,0,0,0,1,2,0,.225,.645
Paredes2B,3,0,1,0,0,1,2,.206,.747
"a-Phillips, BPH",1,0,1,0,0,0,0,.175,.550
"Mejía, FC",4,0,0,0,0,2,4,.204,.537
WallsSS,3,0,0,0,0,0,3,.146,.493
,33,0,7,0,2,11,17,,
