PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Montgomery,4.0,4,4,4,2,6,0,3.69
"Abreu, A",1.2,1,0,0,0,1,0,2.10
"Peralta, Wa",0.1,1,0,0,1,0,0,2.35
Loáisiga,1.0,0,0,0,0,1,0,6.75
"Marinaccio(H, 3)",1.0,2,1,1,1,1,1,2.25
"Holmes(L, 5-2)(BS, 3)",0.2,1,3,3,1,0,1,1.77
Luetge,0.1,0,0,0,1,0,0,2.70
,9.0,9,8,8,6,9,2,
