Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,144",59.0,313,280,75,59,15,0,1,33,250,.268,.262,.332,.331,.302,.300,85.2,2,7.5,12.5
2022,Breaking,583,30.1,160,151,38,32,5,0,1,29,126,.252,.250,.305,.318,.251,.261,84.9,5,18.2,14.9
2022,Offspeed,212,10.9,56,52,13,11,0,0,2,10,43,.250,.300,.365,.390,.290,.322,87.4,9,13.0,12.5
2021,Fastballs,"1,433",59.8,396,368,113,90,13,3,7,48,322,.307,.291,.416,.391,.335,.321,86.6,8,10.4,15.4
2021,Breaking,697,29.1,194,184,41,35,6,0,0,32,153,.223,.218,.255,.257,.230,.233,82.5,0,22.3,14.8
2021,Offspeed,265,11.1,84,82,17,11,5,0,1,10,72,.207,.273,.305,.368,.230,.288,85.6,5,16.1,11.4
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
