Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2018,TEX,AL,C,35,35,305.1,243,227,15,1,2,,.996
2018,TEX,AL,2B,20,19,170.1,95,40,53,2,15,,.979
2018,TEX,AL,3B,46,38,347.0,126,23,98,5,8,,.960
2018,TEX,AL,SS,2,2,17.0,13,6,6,1,3,,.923
2018,TEX,AL,DH,1,0,0.0,0,0,0,0,0,,.000
2019,TEX,AL,C,38,31,280.2,255,243,11,1,0,,.996
2019,TEX,AL,3B,25,23,211.2,73,18,53,2,5,,.973
2019,TEX,AL,DH,1,1,0.0,0,0,0,0,0,,.000
2020,TEX,AL,3B,46,42,366.1,116,32,79,5,4,,.957
2020,TEX,AL,SS,15,15,121.0,43,12,31,0,6,,1.000
2021,TEX,AL,SS,156,155,1360.0,669,214,436,19,98,,.972
2021,TEX,AL,DH,1,1,0.0,0,0,0,0,0,,.000
2022,NYY,AL,3B,6,4,42.0,11,2,8,1,0,,.909
2022,NYY,AL,SS,138,131,1185.0,495,149,331,15,51,,.970
5 Seasons,TEX,AL,C,73,66,586.0,498,470,26,2,2,,.996
,TEX,AL,2B,20,19,170.1,95,40,53,2,15,,.979
,2 Teams,,3B,123,107,967.0,326,75,238,13,17,,.960
,2 Teams,,SS,311,303,2683.0,1220,381,804,35,158,,.971
,TEX,AL,DH,3,2,0.0,0,0,0,0,0,,.000
