,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,531,483,66,126,4,48,22,.261,.314,.327,.641
5 Seasons,2054,1887,234,498,20,166,60,.264,.316,.347,.663
