Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2018,R,395,2,0.5,.301,.345
2019,R,222,0,0.0,.272,
2020,R,228,0,0.0,.307,
2021,R,673,1,0.1,.292,.879
2022,R,527,7,1.3,.288,.180
