 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2018,,464,15.2,44.8%,0.6%,318,21.4,3.1%,10.1%
2019,,220,15.9,40.0%,0.0%,204,21.7,2.5%,7.4%
2020,,270,15.9,38.5%,1.1%,106,22.6,0.0%,12.3%
2021,,843,16.2,36.7%,1.5%,312,21.9,1.3%,11.2%
2022,,635,16.8,28.5%,2.4%,314,21.8,4.5%,8.9%
