BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Marte, K2B",3,0,0,0,1,1,1,.242,.735
"Garrett, SLF",2,0,1,1,0,0,0,.300,.888
CarrollLF,1,0,0,0,0,1,0,.288,.901
Rivera1B,3,0,0,0,0,1,3,.231,.697
a-McCarthyPH-RF,0,0,0,0,0,0,0,.288,.798
"Walker, CDH-1B",4,1,1,1,0,1,1,.238,.810
"Kelly, CC",4,0,0,0,0,2,1,.215,.635
LuplowRF,3,0,0,0,0,2,0,.155,.604
"b-Rojas, JPH",0,0,0,0,1,0,0,.263,.723
MorontaP,0,0,0,0,0,0,0,.000,.000
MantiplyP,0,0,0,0,0,0,0,.000,.000
"Alcántara, Se3B",4,1,1,0,0,3,1,.217,.602
VarshoCF,3,0,0,0,0,1,1,.242,.766
PerdomoSS,3,0,1,0,0,0,2,.189,.532
,30,2,4,2,2,12,10,,
