PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Eovaldi,7.0,5,2,2,0,5,2,3.32
"Strahm(L, 1-1)",0.1,2,2,2,0,0,0,3.86
Danish,0.2,3,2,2,0,1,1,4.91
,8.0,10,6,6,0,6,3,
