BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ArraezDH,4,0,0,0,0,1,2,.314,.801
CorreaSS,3,0,1,0,1,1,1,.270,.786
Miranda1B,4,0,1,0,0,0,2,.274,.768
Gordon2B,4,0,1,0,0,1,2,.273,.746
Urshela3B,3,0,0,0,1,1,1,.263,.729
GarlickRF,4,0,1,0,0,1,2,.264,.835
CaveLF,3,1,0,0,1,2,2,.219,.724
SanchezC,4,1,1,2,0,1,1,.214,.682
CelestinoCF,2,0,1,0,1,0,0,.248,.636
a-KeplerPH,1,0,0,0,0,1,0,.232,.679
,32,2,6,2,4,9,13,,
