PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Kluber(L, 3-3)",6.0,4,2,0,1,3,0,3.50
"Bard, L",1.0,0,0,0,1,0,0,0.00
Faucher,1.0,1,0,0,1,1,0,12.60
,8.0,5,2,0,3,4,0,
