PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Rodón(L, 12-8)",5.1,3,2,2,1,11,1,2.93
"Marte, Y",0.2,1,2,2,1,2,1,6.38
"García, J",1.1,1,0,0,0,0,0,3.44
Littell,0.2,0,0,0,0,1,0,4.93
,8.0,5,4,4,2,14,2,
