BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichLF,4,2,1,0,1,1,2,.252,.730
AdamesSS,4,1,2,2,1,0,2,.222,.738
Tellez1B,3,0,0,0,2,1,3,.235,.804
McCutchenDH,5,1,0,1,0,1,6,.250,.728
RenfroeRF,5,0,0,0,0,0,2,.245,.809
"Wong, Ko2B",5,0,0,1,0,2,0,.241,.718
"Urías, L3B",3,1,0,0,2,1,1,.220,.702
NarváezC,3,0,0,0,0,1,2,.233,.678
b-BrosseauPH,1,0,1,1,0,0,0,.267,.782
CaratiniC,0,0,0,0,1,0,0,.215,.709
"Davis, JoCF",2,0,0,0,0,1,2,.222,.577
a-HiuraPH,1,0,0,0,0,0,0,.239,.810
"Taylor, TCF",1,0,0,0,0,1,2,.221,.687
,37,5,4,5,7,9,22,,
